圖片,車名,價格,連結,清洗後價格
https://p1.8891.com.tw/2025/10/16/1760597891815297_300_225.jpg,Porsche Cayenne 2012款 Turbo Tiptronic 4.8L HAMANN寬,60.8,https://auto.8891.com.tw/usedauto-infos-4529528.html?id=4529528&sale_code=3012001&display__sale_code=3012001&flow_id=88f64de6-f526-40e2-8a90-7c999bc5e46a,60.8
https://p2.8891.com.tw/2025/12/15/17657960086069897586_300_225.jpg,Porsche 911 GT3 2023款 4.0 4.0L 弘達國際泰山店#67250新車+選配1,1121.0,https://auto.8891.com.tw/usedauto-infos-4529419.html?id=4529419&sale_code=3012001&display__sale_code=3012001&flow_id=433013bd-82b3-4d2e-b56b-2711fc67af78,1121.0
https://p2.8891.com.tw/2025/11/21/17637270411390262904_300_225.jpg,Porsche Macan 2014款 Turbo 3.6L 【杰運台北】雙前座電動記憶座椅 安卓機,75.9,https://auto.8891.com.tw/usedauto-infos-4504549.html?id=4504549&sale_code=3012001&display__sale_code=3012001&flow_id=1ababa52-1e31-40a4-a46a-d2b600ef0f28,75.9
https://p2.8891.com.tw/2025/12/14/17657157214980052886_300_225.jpg,Porsche Macan 2014款 2.0T 2.0L 桃園市 2天內刊登 126 次瀏覽 65,65.0,https://auto.8891.com.tw/usedauto-infos-4528347.html?id=4528347&sale_code=3014002&display__sale_code=3014002&flow_id=48ff13d8-ca59-4221-9d27-53b736967890,65.0
https://p2.8891.com.tw/2025/12/14/6/1765707602280836_300_225.jpg,Porsche Cayenne 2021款 S 2.9L 【ACC /SportDesign/ 全景,278.0,https://auto.8891.com.tw/usedauto-infos-4528289.html?id=4528289&sale_code=3012001&display__sale_code=3012001&flow_id=151fbbbf-4a1a-4ec2-9bd8-ceb586e9ab1a,278.0
https://p1.8891.com.tw/2025/12/11/17654574202335435265_300_225.jpg,Porsche Panamera 2019款 3.0T V6 3.0L 弘達國際泰山店 #17901,218.8,https://auto.8891.com.tw/usedauto-infos-4525859.html?id=4525859&sale_code=3012004&display__sale_code=3012004&flow_id=f1646ea1-01c6-4b93-adb8-569bf1793918,218.8
https://p1.8891.com.tw/2025/12/03/17647731251070622091_300_225.jpg,Porsche Macan 2023款 GTS 2.9L 台中市 7天內更新 907 次瀏覽 368,368.0,https://auto.8891.com.tw/usedauto-infos-4516817.html?id=4516817&sale_code=3014001&display__sale_code=3014001&flow_id=bad7ddd5-cca4-41d9-b7e9-f173309c614c,368.0
https://p2.8891.com.tw/2025/12/06/17650086140861283012_300_225.jpg,Porsche 911 Carrera 2013款 S Coupe 3.8L 末代NA 三寶俱全/七,240.0,https://auto.8891.com.tw/usedauto-infos-4519768.html?id=4519768&sale_code=3014001&display__sale_code=3014001&flow_id=bdebfe99-6284-4f50-9b75-59b4a7e82118,240.0
https://p2.8891.com.tw/2025/12/03/17646926490174155514_300_225.jpg,Porsche 911 Carrera Cabriolet 2025款 Cabriolet GTS ,938.8,https://auto.8891.com.tw/usedauto-infos-4515713.html?id=4515713&sale_code=3012004&display__sale_code=3012004&flow_id=c39e89af-5bd4-49ad-8a1d-1929888f024f,938.8
https://p2.8891.com.tw/2025/12/02/17646407707882748776_300_225.jpg,Porsche Cayenne Coupe 2025款 3.0T 3.0L 2025 年式 Caye,378.0,https://auto.8891.com.tw/usedauto-infos-4514532.html?id=4514532&sale_code=3012001&display__sale_code=3012001&flow_id=e11fbe23-565a-4f57-82a6-e93d2380dbd4,378.0
https://p1.8891.com.tw/2025/11/28/17643122040185279797_300_225.jpg,Porsche Taycan Cross Turismo 2024款 4S 純電 4S小改款，新車+,730.0,https://auto.8891.com.tw/usedauto-infos-4511089.html?id=4511089&sale_code=3014001&display__sale_code=3014001&flow_id=c05d47fa-c5b6-4f31-83c6-acc1962ca533,730.0
https://p2.8891.com.tw/2024/11/27/1732673139905472_300_225.jpg,Porsche Panamera 2014款 GTS 4.8L 總代理GTS~耗材都更換/全車原廠選,129.0,https://auto.8891.com.tw/usedauto-infos-4502614.html?id=4502614&sale_code=3014001&display__sale_code=3014001&flow_id=c0901150-afe2-4592-b355-2d8a74f3f424,129.0
https://p1.8891.com.tw/2025/11/18/17634424479233514159_300_225.jpg,Porsche Cayenne Coupe 2020款 3.0T Coupe 3.0L 2020 C,229.8,https://auto.8891.com.tw/usedauto-infos-4500428.html?id=4500428&sale_code=3012001&display__sale_code=3012001&flow_id=520c943f-e812-4dfb-aade-328677e864d2,229.8
https://p1.8891.com.tw/2025/11/14/17630973763345255391_300_225.jpg,Porsche 718 Boxster 2022款 GTS 4.0 4.0L 2022款 Boxte,388.0,https://auto.8891.com.tw/usedauto-infos-4496354.html?id=4496354&sale_code=3012001&display__sale_code=3012001&flow_id=99cdf77c-4b89-4c84-90e2-07d3abb5ad2b,388.0
https://p1.8891.com.tw/2024/03/23/9/1711132419604311_300_225.jpg,Porsche Cayenne 2018款 Cayenne S 2.9L 自售一手庫車~ 台中市 7,168.0,https://auto.8891.com.tw/usedauto-infos-4491184.html?id=4491184&sale_code=3014001&display__sale_code=3014001&flow_id=8e458669-ba4c-45b0-9bed-aa52db95f788,168.0
https://p1.8891.com.tw/2025/11/07/17624878256189469515_300_225.jpg,Porsche Cayenne 2017款 Diesel 3.0L 2017 Cayenne 柴油 ,93.8,https://auto.8891.com.tw/usedauto-infos-4488613.html?id=4488613&sale_code=3012001&display__sale_code=3012001&flow_id=041ab704-e654-4dc4-b02b-135aed0400ab,93.8
